OCC_CODE,REPORT_DATE,NAICS,VALUE
29-1062,2002-05-01,621300,132820
29-1063,2002-05-01,621300,0
29-1065,2002-05-01,621300,121270
29-1066,2002-05-01,621300,95450
29-1067,2002-05-01,621300,0
29-1071,2002-05-01,621300,40470
29-1111,2002-05-01,621300,49850
21-1021,2002-05-01,621400,31550
21-1022,2002-05-01,621400,37260
21-1023,2002-05-01,621400,31370
29-1051,2002-05-01,621400,75280
29-1061,2002-05-01,621400,112780
29-1062,2002-05-01,621400,142010
29-1063,2002-05-01,621400,0
29-1064,2002-05-01,621400,0
29-1065,2002-05-01,621400,128040
29-1066,2002-05-01,621400,141820
29-1067,2002-05-01,621400,0
29-1071,2002-05-01,621400,69340
29-1111,2002-05-01,621400,47310
21-1022,2002-05-01,621500,44830
29-1062,2002-05-01,621500,0
29-1063,2002-05-01,621500,0
29-1067,2002-05-01,621500,117870
29-1071,2002-05-01,621500,60500
29-1111,2002-05-01,621500,46160
21-1021,2002-05-01,621600,28300
21-1022,2002-05-01,621600,40790
21-1023,2002-05-01,621600,37090
29-1051,2002-05-01,621600,74270
29-1063,2002-05-01,621600,120890
29-1067,2002-05-01,621600,0
29-1071,2002-05-01,621600,60520
29-1111,2002-05-01,621600,45890
21-1021,2002-05-01,621900,32080
21-1022,2002-05-01,621900,41140
21-1023,2002-05-01,621900,40090
29-1062,2002-05-01,621900,123450
29-1063,2002-05-01,621900,135840
29-1067,2002-05-01,621900,91840
29-1071,2002-05-01,621900,30640
29-1111,2002-05-01,621900,45750
21-1021,2002-05-01,622100,38020
21-1022,2002-05-01,622100,42730
21-1023,2002-05-01,622100,35560
29-1051,2002-05-01,622100,76620
29-1061,2002-05-01,622100,115120
29-1062,2002-05-01,622100,124700
29-1063,2002-05-01,622100,126810
29-1064,2002-05-01,622100,0
29-1065,2002-05-01,622100,130870
29-1066,2002-05-01,622100,119050
29-1067,2002-05-01,622100,0
29-1071,2002-05-01,622100,65910
29-1111,2002-05-01,622100,49190
21-1021,2002-05-01,622200,35800
21-1022,2002-05-01,622200,43710
21-1023,2002-05-01,622200,34610
29-1051,2002-05-01,622200,67040
29-1062,2002-05-01,622200,123130
29-1063,2002-05-01,622200,139980
29-1066,2002-05-01,622200,127740
29-1071,2002-05-01,622200,67370
29-1111,2002-05-01,622200,47030
21-1021,2002-05-01,622300,34980
21-1022,2002-05-01,622300,43180
21-1023,2002-05-01,622300,27550
29-1051,2002-05-01,622300,76620
29-1061,2002-05-01,622300,123520
29-1062,2002-05-01,622300,127130
29-1063,2002-05-01,622300,0
29-1066,2002-05-01,622300,136240
29-1067,2002-05-01,622300,137920
29-1071,2002-05-01,622300,69000
29-1111,2002-05-01,622300,50340
21-1021,2002-05-01,623100,31890
21-1022,2002-05-01,623100,33330
21-1023,2002-05-01,623100,25520
29-1051,2002-05-01,623100,70030
29-1062,2002-05-01,623100,125180
29-1063,2002-05-01,623100,132280
29-1066,2002-05-01,623100,137170
29-1071,2002-05-01,623100,65210
29-1111,2002-05-01,623100,43850
21-1021,2002-05-01,623200,27860
21-1022,2002-05-01,623200,29870
21-1023,2002-05-01,623200,29440
29-1051,2002-05-01,623200,59730
29-1062,2002-05-01,623200,112560
29-1065,2002-05-01,623200,112760
29-1066,2002-05-01,623200,138880
29-1071,2002-05-01,623200,51900
29-1111,2002-05-01,623200,42690
21-1021,2002-05-01,623300,29560
21-1022,2002-05-01,623300,33140
21-1023,2002-05-01,623300,31260
29-1051,2002-05-01,623300,73240
29-1063,2002-05-01,623300,138360
29-1066,2002-05-01,623300,101070
29-1111,2002-05-01,623300,42530
21-1021,2002-05-01,623900,28470
21-1022,2002-05-01,623900,31120
21-1023,2002-05-01,623900,28630
29-1066,2002-05-01,623900,0
29-1111,2002-05-01,623900,42150
21-1021,2002-05-01,624100,29150
21-1022,2002-05-01,624100,31000
21-1023,2002-05-01,624100,31300
29-1062,2002-05-01,624100,138840
29-1066,2002-05-01,624100,141580
29-1071,2002-05-01,624100,64860
29-1111,2002-05-01,624100,42710
21-1021,2002-05-01,624200,26810
21-1022,2002-05-01,624200,28010
21-1023,2002-05-01,624200,27650
29-1111,2002-05-01,624200,41740
21-1021,2002-05-01,624300,28340
21-1022,2002-05-01,624300,26410
21-1023,2002-05-01,624300,28290
29-1066,2002-05-01,624300,142950
29-1111,2002-05-01,624300,45520
21-1021,2002-05-01,624400,26200
21-1022,2002-05-01,624400,27270
21-1023,2002-05-01,624400,27780
29-1111,2002-05-01,624400,38030
29-1111,2002-05-01,711200,41460
29-1111,2002-05-01,711300,42070
29-1111,2002-05-01,713100,35100
21-1021,2002-05-01,713900,27010
29-1111,2002-05-01,721200,31240
29-1111,2002-05-01,721300,37630
29-1111,2002-05-01,812100,33910
29-1111,2002-05-01,812900,44820
21-1021,2002-05-01,813100,25070
21-1022,2002-05-01,813100,28220
21-1023,2002-05-01,813100,26750
29-1111,2002-05-01,813100,38010
21-1021,2002-05-01,813200,26790
21-1022,2002-05-01,813200,32090
21-1023,2002-05-01,813200,30370
29-1111,2002-05-01,813200,46380
21-1021,2002-05-01,813300,26110
21-1022,2002-05-01,813300,30290
21-1023,2002-05-01,813300,27990
29-1111,2002-05-01,813300,41640
21-1021,2002-05-01,813400,20930
21-1022,2002-05-01,813400,31380
21-1023,2002-05-01,813400,25850
29-1111,2002-05-01,813400,48310
21-1021,2002-05-01,813900,31490
21-1022,2002-05-01,813900,44930
21-1023,2002-05-01,813900,39880
29-1062,2002-05-01,813900,136880
29-1111,2002-05-01,813900,43330
29-1051,2002-05-01,999100,78970
29-1071,2002-05-01,999100,66980
29-1111,2002-05-01,999100,58320
21-1021,2002-05-01,999200,34000
21-1022,2002-05-01,999200,35250
21-1023,2002-05-01,999200,38430
29-1051,2002-05-01,999200,66200
29-1061,2002-05-01,999200,103220
29-1062,2002-05-01,999200,111590
29-1063,2002-05-01,999200,130520
29-1066,2002-05-01,999200,132270
29-1071,2002-05-01,999200,60420
29-1111,2002-05-01,999200,47070
21-1021,2002-05-01,999300,38140
21-1022,2002-05-01,999300,37620
21-1023,2002-05-01,999300,35700
29-1051,2002-05-01,999300,71260
29-1062,2002-05-01,999300,38530
29-1063,2002-05-01,999300,130090
29-1065,2002-05-01,999300,135850
29-1066,2002-05-01,999300,126550
29-1067,2002-05-01,999300,0
29-1071,2002-05-01,999300,64200
29-1111,2002-05-01,999300,46980
29-1111,2003-05-01,221100,55840
29-1111,2003-05-01,311600,38610
29-1111,2003-05-01,313200,42750
29-1111,2003-05-01,322100,48020
29-1111,2003-05-01,322200,47700
29-1111,2003-05-01,324100,56120
29-1111,2003-05-01,325100,55940
29-1111,2003-05-01,325200,51750
29-1111,2003-05-01,325300,50810
29-1051,2003-05-01,325400,69810
29-1111,2003-05-01,325400,54710
29-1111,2003-05-01,325900,47200
29-1111,2003-05-01,326100,50120
29-1111,2003-05-01,331100,40130
29-1111,2003-05-01,331500,44900
29-1111,2003-05-01,332900,49850
29-1111,2003-05-01,333100,38960
29-1111,2003-05-01,333300,49660
29-1111,2003-05-01,334400,47740
29-1111,2003-05-01,334500,52250
29-1111,2003-05-01,336400,49160
29-1111,2003-05-01,337100,44720
29-1111,2003-05-01,339100,47700
29-1051,2003-05-01,423400,72510
29-1111,2003-05-01,423400,48660
29-1051,2003-05-01,424200,76250
29-1111,2003-05-01,424200,46280
29-1051,2003-05-01,425100,78210
29-1111,2003-05-01,425100,52440
29-1051,2003-05-01,445100,82300
29-1051,2003-05-01,446100,80730
29-1111,2003-05-01,446100,47180
29-1051,2003-05-01,452100,83640
29-1051,2003-05-01,452900,80660
29-1051,2003-05-01,454100,80500
29-1051,2003-05-01,484100,79150
29-1111,2003-05-01,485900,43250
29-1051,2003-05-01,493100,86730
29-1111,2003-05-01,493100,47090
29-1111,2003-05-01,511100,47460
29-1111,2003-05-01,518200,37280
29-1111,2003-05-01,522200,53150
29-1111,2003-05-01,522300,55350
29-1111,2003-05-01,523900,51870
21-1022,2003-05-01,524100,49550
29-1051,2003-05-01,524100,85460
29-1062,2003-05-01,524100,125510
29-1063,2003-05-01,524100,144270
29-1111,2003-05-01,524100,50120
21-1022,2003-05-01,524200,51440
29-1051,2003-05-01,524200,84330
29-1063,2003-05-01,524200,122590
29-1111,2003-05-01,524200,50520
29-1111,2003-05-01,525100,49200
21-1021,2003-05-01,531100,32340
21-1022,2003-05-01,531100,32780
29-1111,2003-05-01,531100,44620
29-1111,2003-05-01,531200,41460
21-1021,2003-05-01,531300,30430
29-1111,2003-05-01,531300,40740
29-1051,2003-05-01,532200,64470
29-1111,2003-05-01,532200,48080
21-1021,2003-05-01,541100,40220
29-1111,2003-05-01,541100,45670
29-1111,2003-05-01,541300,54200
29-1111,2003-05-01,541500,54800
21-1021,2003-05-01,541600,35570
21-1022,2003-05-01,541600,29860
21-1023,2003-05-01,541600,40190
29-1051,2003-05-01,541600,82060
29-1062,2003-05-01,541600,135980
29-1111,2003-05-01,541600,50490
21-1022,2003-05-01,541700,34720
29-1062,2003-05-01,541700,111570
29-1066,2003-05-01,541700,106400
29-1071,2003-05-01,541700,71140
29-1111,2003-05-01,541700,52460
21-1021,2003-05-01,541900,28510
29-1111,2003-05-01,541900,51880
21-1021,2003-05-01,551100,30840
21-1022,2003-05-01,551100,34640
21-1023,2003-05-01,551100,33170
29-1051,2003-05-01,551100,82360
29-1062,2003-05-01,551100,110600
29-1063,2003-05-01,551100,107470
29-1065,2003-05-01,551100,115550
29-1066,2003-05-01,551100,141390
29-1067,2003-05-01,551100,0
29-1071,2003-05-01,551100,61870
29-1111,2003-05-01,551100,49350
21-1022,2003-05-01,561100,33300
21-1023,2003-05-01,561100,39060
29-1051,2003-05-01,561100,80890
29-1062,2003-05-01,561100,113130
29-1071,2003-05-01,561100,77220
29-1111,2003-05-01,561100,51940
21-1021,2003-05-01,561200,32100
21-1023,2003-05-01,561200,27280
29-1111,2003-05-01,561200,41550
21-1021,2003-05-01,561300,31710
21-1022,2003-05-01,561300,40780
21-1023,2003-05-01,561300,22640
29-1051,2003-05-01,561300,73060
29-1062,2003-05-01,561300,119240
29-1071,2003-05-01,561300,65760
29-1111,2003-05-01,561300,57200
29-1111,2003-05-01,561400,58540
29-1111,2003-05-01,561900,51820
21-1021,2003-05-01,611100,44380
21-1022,2003-05-01,611100,42060
21-1023,2003-05-01,611100,38140
29-1062,2003-05-01,611100,61410
29-1066,2003-05-01,611100,91900
29-1111,2003-05-01,611100,39280
21-1021,2003-05-01,611200,38520
29-1111,2003-05-01,611200,48550
21-1021,2003-05-01,611300,39930
21-1022,2003-05-01,611300,42750
21-1023,2003-05-01,611300,34340
29-1051,2003-05-01,611300,69060
29-1061,2003-05-01,611300,68130
29-1062,2003-05-01,611300,66140
29-1063,2003-05-01,611300,64550
29-1064,2003-05-01,611300,109670
29-1065,2003-05-01,611300,73910
29-1066,2003-05-01,611300,65920
29-1067,2003-05-01,611300,92000
29-1071,2003-05-01,611300,65060
29-1111,2003-05-01,611300,46600
21-1021,2003-05-01,611400,34050
29-1111,2003-05-01,611400,40700
21-1021,2003-05-01,611500,36960
29-1111,2003-05-01,611500,48530
21-1021,2003-05-01,611600,38160
21-1022,2003-05-01,611600,38220
29-1111,2003-05-01,611600,39880
21-1021,2003-05-01,611700,41540
21-1023,2003-05-01,611700,25910
29-1111,2003-05-01,611700,47160
21-1021,2003-05-01,621100,32450
21-1022,2003-05-01,621100,33790
21-1023,2003-05-01,621100,37840
29-1051,2003-05-01,621100,80460
29-1061,2003-05-01,621100,0
29-1062,2003-05-01,621100,144850
29-1063,2003-05-01,621100,0
29-1064,2003-05-01,621100,0
29-1065,2003-05-01,621100,136710
29-1066,2003-05-01,621100,141160
29-1067,2003-05-01,621100,0
29-1071,2003-05-01,621100,65070
29-1111,2003-05-01,621100,45310
29-1061,2003-05-01,621200,144000
29-1062,2003-05-01,621200,111250
29-1067,2003-05-01,621200,0
29-1071,2003-05-01,621200,50180
29-1111,2003-05-01,621200,44370
21-1021,2003-05-01,621300,35690
21-1022,2003-05-01,621300,36200
21-1023,2003-05-01,621300,36160
29-1051,2003-05-01,621300,77120
29-1061,2003-05-01,621300,0
29-1062,2003-05-01,621300,139430
29-1063,2003-05-01,621300,0
29-1065,2003-05-01,621300,119470
29-1066,2003-05-01,621300,116450
29-1067,2003-05-01,621300,0
29-1071,2003-05-01,621300,36510
29-1111,2003-05-01,621300,50720
21-1021,2003-05-01,621400,31930
21-1022,2003-05-01,621400,38880
21-1023,2003-05-01,621400,31680
29-1051,2003-05-01,621400,76860
29-1061,2003-05-01,621400,0
29-1062,2003-05-01,621400,142340
29-1063,2003-05-01,621400,0
29-1064,2003-05-01,621400,0
29-1065,2003-05-01,621400,129180
29-1066,2003-05-01,621400,145240
29-1067,2003-05-01,621400,0
29-1071,2003-05-01,621400,72280
29-1111,2003-05-01,621400,48670
21-1022,2003-05-01,621500,47240
29-1062,2003-05-01,621500,0
29-1063,2003-05-01,621500,0
29-1067,2003-05-01,621500,122370
29-1071,2003-05-01,621500,62180
29-1111,2003-05-01,621500,47330
21-1021,2003-05-01,621600,31050
21-1022,2003-05-01,621600,40940
21-1023,2003-05-01,621600,35780
29-1051,2003-05-01,621600,78160
29-1062,2003-05-01,621600,134040
29-1063,2003-05-01,621600,129260
29-1071,2003-05-01,621600,64650
29-1111,2003-05-01,621600,46660
21-1022,2003-05-01,621900,39110
21-1023,2003-05-01,621900,40600
29-1051,2003-05-01,621900,88900
29-1061,2003-05-01,621900,0
29-1062,2003-05-01,621900,131960
29-1063,2003-05-01,621900,0
29-1067,2003-05-01,621900,0
29-1071,2003-05-01,621900,49740
29-1111,2003-05-01,621900,46220
21-1021,2003-05-01,622100,39630
21-1022,2003-05-01,622100,43440
21-1023,2003-05-01,622100,37050
29-1051,2003-05-01,622100,79930
29-1061,2003-05-01,622100,121630
29-1062,2003-05-01,622100,124100
29-1063,2003-05-01,622100,126170
29-1064,2003-05-01,622100,0
29-1065,2003-05-01,622100,136510
29-1066,2003-05-01,622100,120420
29-1067,2003-05-01,622100,144080
29-1071,2003-05-01,622100,66450
29-1111,2003-05-01,622100,50700
21-1021,2003-05-01,622200,34520
21-1022,2003-05-01,622200,44990
21-1023,2003-05-01,622200,35170
29-1051,2003-05-01,622200,69110
29-1062,2003-05-01,622200,125330
29-1066,2003-05-01,622200,129500
29-1071,2003-05-01,622200,67990
29-1111,2003-05-01,622200,48120
21-1021,2003-05-01,622300,35020
21-1022,2003-05-01,622300,43580
21-1023,2003-05-01,622300,27940
29-1051,2003-05-01,622300,79500
29-1061,2003-05-01,622300,139360
29-1062,2003-05-01,622300,128840
29-1063,2003-05-01,622300,0
29-1066,2003-05-01,622300,137480
29-1067,2003-05-01,622300,139020
29-1071,2003-05-01,622300,70070
29-1111,2003-05-01,622300,51580
21-1021,2003-05-01,623100,32070
21-1022,2003-05-01,623100,34440
21-1023,2003-05-01,623100,33810
29-1051,2003-05-01,623100,72720
29-1062,2003-05-01,623100,69810
29-1063,2003-05-01,623100,127000
29-1066,2003-05-01,623100,140390
29-1071,2003-05-01,623100,64510
29-1111,2003-05-01,623100,45550
21-1021,2003-05-01,623200,29140
21-1022,2003-05-01,623200,31050
21-1023,2003-05-01,623200,29640
29-1051,2003-05-01,623200,78070
29-1062,2003-05-01,623200,121030
29-1065,2003-05-01,623200,113740
29-1066,2003-05-01,623200,141120
29-1071,2003-05-01,623200,50400
29-1111,2003-05-01,623200,43670
21-1021,2003-05-01,623300,28120
21-1022,2003-05-01,623300,34430
21-1023,2003-05-01,623300,35640
29-1051,2003-05-01,623300,76550
29-1066,2003-05-01,623300,111580
29-1111,2003-05-01,623300,44130
21-1021,2003-05-01,623900,29510
21-1022,2003-05-01,623900,30080
21-1023,2003-05-01,623900,28010
29-1066,2003-05-01,623900,0
29-1111,2003-05-01,623900,42670
21-1021,2003-05-01,624100,29540
21-1022,2003-05-01,624100,31400
21-1023,2003-05-01,624100,31340
29-1062,2003-05-01,624100,118070
29-1066,2003-05-01,624100,138050
29-1071,2003-05-01,624100,72020
29-1111,2003-05-01,624100,43430
21-1021,2003-05-01,624200,27410
21-1022,2003-05-01,624200,28050
21-1023,2003-05-01,624200,27380
29-1111,2003-05-01,624200,42580
21-1021,2003-05-01,624300,27370
21-1022,2003-05-01,624300,32680
21-1023,2003-05-01,624300,29070
29-1066,2003-05-01,624300,0
29-1111,2003-05-01,624300,45040
21-1021,2003-05-01,624400,26800
21-1022,2003-05-01,624400,27310
21-1023,2003-05-01,624400,27840
29-1111,2003-05-01,624400,39130
29-1111,2003-05-01,711200,43230
29-1111,2003-05-01,713100,36150
29-1111,2003-05-01,713900,48050
29-1111,2003-05-01,721100,53450
29-1111,2003-05-01,721200,31930
29-1111,2003-05-01,721300,41540
29-1111,2003-05-01,812100,34000
21-1022,2003-05-01,812200,27570
29-1111,2003-05-01,812900,46950
21-1021,2003-05-01,813100,26160
21-1022,2003-05-01,813100,30420
21-1023,2003-05-01,813100,26800
29-1111,2003-05-01,813100,39930
21-1021,2003-05-01,813200,26210
21-1022,2003-05-01,813200,33370
21-1023,2003-05-01,813200,31480
29-1111,2003-05-01,813200,47590
21-1021,2003-05-01,813300,26520
21-1022,2003-05-01,813300,30210
21-1023,2003-05-01,813300,28600
29-1111,2003-05-01,813300,42300
21-1021,2003-05-01,813400,21870
21-1022,2003-05-01,813400,30710
21-1023,2003-05-01,813400,23950
29-1111,2003-05-01,813400,47280
21-1021,2003-05-01,813900,32730
21-1022,2003-05-01,813900,39610
21-1023,2003-05-01,813900,39230
29-1051,2003-05-01,813900,78430
29-1111,2003-05-01,813900,44810
29-1051,2003-05-01,999100,81020
29-1071,2003-05-01,999100,70690
29-1111,2003-05-01,999100,61230
21-1021,2003-05-01,999200,34430
21-1022,2003-05-01,999200,35700
21-1023,2003-05-01,999200,38920
29-1051,2003-05-01,999200,67030
29-1061,2003-05-01,999200,104520
29-1062,2003-05-01,999200,112990
29-1063,2003-05-01,999200,132160
29-1066,2003-05-01,999200,133940
29-1071,2003-05-01,999200,61180
29-1111,2003-05-01,999200,47660
21-1021,2003-05-01,999300,39220
21-1022,2003-05-01,999300,38610
21-1023,2003-05-01,999300,35300
29-1051,2003-05-01,999300,77830
29-1063,2003-05-01,999300,128540
29-1065,2003-05-01,999300,126330
29-1066,2003-05-01,999300,134970
29-1067,2003-05-01,999300,144190
29-1071,2003-05-01,999300,69350
29-1111,2003-05-01,999300,48330
29-1111,2003-11-01,221100,56810
29-1111,2003-11-01,311400,43950
29-1111,2003-11-01,311600,39110
29-1111,2003-11-01,312200,47500
29-1111,2003-11-01,313200,44070
29-1111,2003-11-01,322100,47480
29-1111,2003-11-01,322200,49860
29-1111,2003-11-01,324100,59470
29-1111,2003-11-01,325100,57100
29-1111,2003-11-01,325200,51900
29-1051,2003-11-01,325400,73970
29-1111,2003-11-01,325400,55820
29-1111,2003-11-01,325900,49050
29-1111,2003-11-01,326100,51230
29-1111,2003-11-01,326200,42300
29-1111,2003-11-01,331100,41220
29-1111,2003-11-01,331500,49450
29-1111,2003-11-01,332900,50400
29-1111,2003-11-01,333100,42080
29-1111,2003-11-01,333300,49950
29-1111,2003-11-01,334500,52800
29-1111,2003-11-01,336300,52180
29-1111,2003-11-01,336400,52180
29-1111,2003-11-01,337100,44250
29-1111,2003-11-01,339100,49770
29-1051,2003-11-01,423400,77580
29-1111,2003-11-01,423400,51200
29-1051,2003-11-01,424200,78430
29-1111,2003-11-01,424200,48510
29-1051,2003-11-01,425100,81510
29-1111,2003-11-01,425100,53550
29-1051,2003-11-01,445100,84270
29-1051,2003-11-01,446100,82630
29-1111,2003-11-01,446100,45820
29-1051,2003-11-01,447100,0
29-1051,2003-11-01,452100,84570
29-1051,2003-11-01,452900,81880
29-1051,2003-11-01,454100,82010
29-1111,2003-11-01,454100,55540
29-1111,2003-11-01,481100,44830
29-1111,2003-11-01,481200,37910
29-1051,2003-11-01,484100,80080
29-1111,2003-11-01,485900,44560
29-1111,2003-11-01,491100,50810
29-1051,2003-11-01,493100,88790
29-1111,2003-11-01,493100,47460
29-1111,2003-11-01,511100,50080
29-1051,2003-11-01,518200,98320
29-1111,2003-11-01,522200,51310
29-1111,2003-11-01,523900,52320
21-1022,2003-11-01,524100,50040
21-1023,2003-11-01,524100,39160
29-1051,2003-11-01,524100,84410
29-1062,2003-11-01,524100,130120
29-1063,2003-11-01,524100,0
29-1111,2003-11-01,524100,51160
21-1022,2003-11-01,524200,51850
29-1051,2003-11-01,524200,84420
29-1111,2003-11-01,524200,50430
21-1022,2003-11-01,525100,47980
29-1111,2003-11-01,525100,54740
21-1021,2003-11-01,531100,28680
29-1111,2003-11-01,531100,45450
29-1111,2003-11-01,531200,43240
21-1021,2003-11-01,531300,30790
29-1111,2003-11-01,531300,43220
29-1051,2003-11-01,532200,66060
29-1111,2003-11-01,532200,49270
29-1111,2003-11-01,532400,56230
21-1021,2003-11-01,541100,41080
29-1111,2003-11-01,541100,46130
29-1111,2003-11-01,541300,55060
29-1111,2003-11-01,541500,56600
21-1021,2003-11-01,541600,36440
21-1022,2003-11-01,541600,30180
29-1051,2003-11-01,541600,83340
29-1062,2003-11-01,541600,140420
29-1111,2003-11-01,541600,52420
21-1022,2003-11-01,541700,34750
29-1051,2003-11-01,541700,79530
29-1062,2003-11-01,541700,112480
29-1066,2003-11-01,541700,87060
29-1071,2003-11-01,541700,72970
29-1111,2003-11-01,541700,52080
29-1111,2003-11-01,541900,63460
21-1021,2003-11-01,551100,31130
21-1022,2003-11-01,551100,34180
21-1023,2003-11-01,551100,34040
29-1051,2003-11-01,551100,86950
29-1062,2003-11-01,551100,115170
29-1063,2003-11-01,551100,110080
